tasks;avg1;avg2;avg3;avg4;avg
2,3,5;45,759;45,647;45,719;45,709;45,708
1,2,3;46,004;45,974;45,947;46,085;46,003
2,3,6;46,846;46,839;46,875;46,876;46,859
2,3,4;47,201;47,286;47,290;47,279;47,264
1,3,5;47,316;47,339;47,237;47,346;47,310
1,2,5;47,473;47,499;47,549;47,518;47,510
1,3,6;48,271;48,262;48,292;48,320;48,286
3,5,6;48,326;48,343;48,335;48,297;48,325
2,5,6;48,436;48,436;48,435;48,411;48,430
1,2,6;48,429;48,497;48,441;48,431;48,449
3,4,5;49,128;49,250;49,242;49,236;49,214
1,3,4;49,218;49,289;49,263;49,209;49,245
2,4,5;49,259;49,261;49,243;49,301;49,266
1,5,6;49,368;49,315;49,380;49,392;49,364
1,2,4;49,476;49,463;49,434;49,443;49,454
3,4,6;49,925;49,857;49,911;49,937;49,907
2,4,6;49,929;49,906;49,945;49,884;49,916
1,4,5;50,838;50,888;50,769;50,912;50,852
4,5,6;51,081;51,060;51,085;51,070;51,074
1,4,6;51,257;51,215;51,264;51,223;51,240
